Location,Coordinates,Date,Description,Weaponry,Casulties,Shot Down
Aramsha,"33.0878, 35.2284",02-09-2024,"Interception: On 2 September 2024, Israeli military forces intercepted rockets over the area of Aramsha (Akko, HaZafon) that were fired by Hezbollah forces in Lebanon. Hezbollah forces launched several rockets toward Aramsha, most of which were intercepted.",rockets,0,0
Kefar Yuval,"33.2475, 35.5981",01-09-2024,"On 1 September 2024, Hezbollah forces in Lebanon fired an anti-tank missile at Kefar Yuval (Zefat, HaZafon), seriously injuring one civilian and moderately injuring two more, one of whom was a member of the local security team.",anti-tank,1,0
Misgav Am,"33.2474, 35.5489",01-09-2024,"On 1 September 2024, Hezbollah forces in Lebanon fired a barrage of about ten rockets toward Misgav Am (Zefat, HaZafon). No casualties occurred. The rockets likely fell in open areas near Misgav Am.",rockets,0,0
Mattat,"33.0413, 35.3586",01-09-2024,"On 1 September 2024, Hezbollah forces in Lebanon fired about 20 rockets toward Mattat (Akko, HaZafon). Some of the rockets were intercepted. Most of the remainder of the rockets fell in open areas near Mattat. No casualties occurred.",rockets,0,0
Mattat,"33.0413, 35.3586",01-09-2024,"On 1 September 2024, Hezbollah forces in Lebanon fired about 20 rockets toward Mattat (Akko, HaZafon). One of the rockets hit a home in Mattat, causing damage. The remainder of the rockets were intercepted or fell in open areas. No casualties occurred.",rockets,0,0
Yiron,"33.0776, 35.4546",01-09-2024,"On 1 September 2024, Hezbollah forces in Lebanon claimed to have targeted, directly hit, and destroyed IDF equipment in the area of Yiron (Zefat, HaZafon) with a \",unknown,0,0
Menara,"33.1969, 35.5439",01-09-2024,"On 1 September 2024, Hezbollah forces in Lebanon claimed to have targeted and directly hit a building in Menara (Zefat, HaZafon) used by IDF soldiers with rocket fire. No attempted attacks or direct hits were reported by Israeli sources.",unknown,0,0
Shetula,"33.0852, 35.3149",01-09-2024,"On 1 September 2024, Hezbollah forces in Lebanon claimed to have targeted and directly hit a building in Shetula (Akko, HaZafon) used by IDF soldiers with rocket fire. No attempted attacks or direct hits were reported by Israeli sources.",unknown,0,0
Mattat,"33.0413, 35.3586",01-09-2024,"On 1 September 2024, Hezbollah forces in Lebanon claimed to have targeted and directly hit an IDF site in the area of Mattat (Akko, HaZafon) with rocket fire. No attempted attacks or direct hits were reported by Israeli sources.",unknown,0,0
Margaliyyot,"33.2147, 35.5449",01-09-2024,"On 1 September 2024, Hezbollah forces in Lebanon claimed to have targeted a \",unknown,0,0
Mattat,"33.0413, 35.3586",01-09-2024,"Interception: On 1 September 2024, Israeli military forces intercepted several rockets fired by Hezbollah forces in Lebanon over the area of Mattat (Akko, HaZafon). Hezbollah fired about 20 rockets toward the area of Mattat, several of which were intercepted.",rockets,0,0
Beit Hillel Base,"33.2231, 35.6017",31-08-2024,"On 31 August 2024, Hezbollah forces in Lebanon fired a drone -- likely armed -- that fell in the area of the Beit Hillel Base (Zefat, HaZafon). No casualties occurred. Hezbollah claimed to target and hit the base accurately. No direct hits were reported by Israeli sources.",drone,0,0
Margaliyyot,"33.2147, 35.5449",31-08-2024,"On 31 August 2024, Hezbollah forces in Lebanon claimed to have targeted and directly hit an IDF base in Margaliyyot (Zefat, HaZafon) with rocket fire. No attempted attacks or direct hits were reported by Israeli sources.",unknown,0,0
Birkat Risha,"33.095, 35.256",31-08-2024,"On 31 August 2024, Hezbollah forces in Lebanon claimed to have targeted and directly hit an IDF site in Birkat Risha (Akko, HaZafon) with rocket fire. No attempted attacks or direct hits were reported by Israeli sources.",unknown,0,0
Biranit,"33.0583, 35.3415",31-08-2024,"On 31 August 2024, Hezbollah forces in Lebanon claimed to have targeted and directly hit the IDF post in Biranit (Akko, HaZafon) with rocket fire. No attempted attacks or direct hits were reported by Israeli sources.",unknown,0,0
Migdal Tefen,"32.9787, 35.2756",30-08-2024,"On 30 August 2024, Hezbollah forces fired several missiles toward northern Israel, only one of which crossed into Israeli territory and fell in an open area near Migdal Tefen (Akko, HaZafon). No casualties occurred.",missiles,0,0
Adamit,"33.0797, 35.211",30-08-2024,"On 30 August 2024, Hezbollah forces in Lebanon fired about 40 rockets toward areas in the Western Galilee(Akko, HaZafon). Some of the rockets were intercepted. The remainder fell in open areas, some likely near Adamit (location unspecified). No casualties occurred.",rockets,0,0
Yaara,"33.0675, 35.187",30-08-2024,"On 30 August 2024, Hezbollah forces in Lebanon fired about 40 rockets toward Adamit, Yaara (Akko, HaZafon), Manot, Elon, Goren, Aramsha, and other areas in the Western Galilee. Some of the rockets were intercepted. The remainder fell in open areas, some likely near Yaara. No casualties occurred. Hezbollah claimed to have targeted IDF sites in the area of Yaara.",rockets,0,0
Elon,"33.0637, 35.2201",30-08-2024,"Interception: On 30 August 2024, Israeli military forces intercepted some rockets that were fired by Hezbollah forces in Lebanon toward the Western Galilee. Hezbollah forces fired about 40 rockets. Most fell in open areas (unspecified), though some were intercepted. No location of interceptions specified. Coded to Elon (Akko, HaZafon).",rockets,0,0
Metulla,"33.2792, 35.5795",30-08-2024,"On 30 August 2024, Hezbollah forces in Lebanon fired an explosive-laden drone that crashed in Metulla (Zefat, HaZafon), causing property damage. Hezbollah forces also claimed to have fired a \",drone,0,0
Zarit,"33.0996, 35.2889",29-08-2024,"On 29 August 2024, Hezbollah forces in Lebanon fired three rockets that fell in open areas near Zarit (Akko, HaZafon). No casualties occurred. In retaliation, Israeli military forces struck the launch sites (coded separately). Hezbollah claimed to have targeted and directly hit an IDF site in the area of Zarit. No direct hits were reported by Israeli media.",rockets,0,0
Metulla,"33.2792, 35.5795",29-08-2024,"On 29 August 2024, Hezbollah forces in Lebanon fired three mortar shells that fell in open areas near Metulla (Zefat, HaZafon). No casualties occurred.",mortar,0,0
Metulla,"33.2792, 35.5795",29-08-2024,"On 29 August 2024, Hezbollah forces in Lebanon fired an anti-tank missile at Metulla (Zefat, HaZafon). Hezbollah claimed to have targeted Israeli soldier locations and achieved direct hits. No damages were reported. No casualties occurred.",anti-tank,0,0
Dan,"33.2398, 35.6534",28-08-2024,"Other: On 28 August 2024, a Hezbollah surveillance drone fell in Dan (Zefat, HaZafon). It was collected by Israeli forces. No casualties occurred.",drone,0,0
Menara,"33.1969, 35.5439",28-08-2024,"On 28 August 2024, Hezbollah forces fired two rockets toward Menara (Zefat, HaZafon). One of the rockets fell in an open area near Menara. No casualties occurred. Hezbollah forces claimed to target buildings used by IDF soldiers.",rockets,0,0
Dovev,"33.0522, 35.4081",27-08-2024,"On 27 August 2024, Hezbollah claimed to have targeted and directly hit IDF \",unknown,0,0
Meron,"32.9878, 35.4409",27-08-2024,"On 27 August 2024, Hezbollah forces in Lebanon launched a projectile that fell in an open area near Meron (Zefat, HaZafon). No casualties occurred.",projectile,0,0
Menara,"33.1969, 35.5439",27-08-2024,"On 27 August 2024, Hezbollah forces in Lebanon fired rockets and explosive-laden drones toward Menara (Zefat, HaZafon). Hezbollah claimed to have targeted and directly hit an IDF site in the area. No direct hits were reported by Israeli sources.",rockets,0,0
Beit Hillel,"33.2086, 35.607",27-08-2024,"On 27 August 2024, Hezbollah forces in Lebanon launched at least one explosive-laden drone that fell near Bet Hillel (Zefat, HaZafon), lightly injuring an IDF soldier.",drone,1,0
Ayelet HaShahar,"33.0222, 35.5772",26-08-2024,"On 26 August 2024, Hezbollah forces in Lebanon launched about five \",unknown,0,0
Hanita,"33.0875, 35.1736",26-08-2024,"On 26 August 2024, Hezbollah forces in Lebanon fired about 20 rockets and several drones -- likely explosive-laden drones -- that fell in open areas near Hanita (Akko, HaZafon), Aramsha, Adamit, and surrounding areas. Some projectiles were also intercepted. Fires sparked near Hanita due to rocket or drone impacts. No casualties occurred.",rockets,0,0
Eastern Mediterranean Sea,"33.0678, 31.1694",25-08-2024,"On 25 August 2024, an IDF sailor was killed while on a ship in the Eastern Mediterranean Sea by a Hezbollah drone attack. Two additional soldiers were injured in the incident on the ship, which was stationed about three to four kilometers from the northern Israeli coast. The drone did not hit the ship directly, though it is unclear if an interceptor missile malfunctioned and hit the ship or if shrapnel from an interception hit the ship and caused the casualties. Hezbollah claimed to have fired over 320 rockets targeting IDF sites in Israel throughout the day in retaliation for the assassination of senior commander Fuad Shukr, though Israeli authorities estimate that Hezbollah fired about 230 rockets and 20 drones, most of which were intercepted or fell in open areas.",rockets,1,0
Hanita,"33.0875, 35.1736",25-08-2024,"On 25 August 2024, Hezbollah forces in Lebanon fired at least 70 rockets, and likely some explosive-laden drones, toward the Western Galilee, including Hanita (Akko, HaZafon). Only a few direct hits were reported, as most of the projectiles were intercepted or fell in open areas, some sparking fires near Hanita. No casualties occurred. Hezbollah claimed to have fired over 320 rockets targeting IDF sites in Israel throughout the day in retaliation for the assassination of senior commander Fuad Shukr, though Israeli authorities estimate that Hezbollah fired about 230 rockets and 20 drones, most of which were intercepted or fell in open areas.",rockets,0,0
Emeq HaHula,"33.1572, 35.6062",25-08-2024,"On 25 August 2024, at least one explosive-laden drone, and likely some rockets, fell and exploded in the area of Emeq HaHula (Zefat, HaZafon). No casualties occurred. Hezbollah forces in Lebanon claimed to have fired over 320 rockets at Israel throughout the day in retaliation for the assassination of senior commander Fuad Shukr, though Israeli authorities estimate that Hezbollah fired about 230 rockets and 20 drones, most of which were intercepted or fell in open areas.",rockets,0,0
Safed,"32.9647, 35.496",25-08-2024,"Interception: On 25 August 2024, Israeli military forces intercepted dozens of rockets and drones over northern Israel that were fired by Hezbollah forces in Lebanon. Hezbollah forces launched hundreds of projectiles throughout the day as part of a retaliation for the assassination of senior commander Fuad Shukr. At least dozens of the projectiles were intercepted. No locations for the interceptions specified. Coded to Safed (Zefat, HaZafon) to cover the Eastern Upper Galilee region of Israel.",rockets,0,0
Elon,"33.0637, 35.2201",25-08-2024,"Interception: On 25 August 2024, Israeli military forces intercepted dozens of rockets and drones over northern Israel that were fired by Hezbollah forces in Lebanon. Hezbollah forces launched hundreds of projectiles throughout the day as part of a retaliation for the assassination of senior commander Fuad Shukr. At least dozens of the projectiles were intercepted. No locations for the interceptions specified. Coded to Elon (Akko, HaZafon) to cover part of the Western Galilee region of Israel.",rockets,0,0
Shlomi,"33.0726, 35.1458",25-08-2024,"Interception: On 25 August 2024, Israeli military forces intercepted dozens of rockets and drones over northern Israel that were fired by Hezbollah forces in Lebanon. Hezbollah forces launched hundreds of projectiles throughout the day as part of a retaliation for the assassination of senior commander Fuad Shukr. At least dozens of the projectiles were intercepted. No locations for the interceptions specified. Coded to Shlomi (Akko, HaZafon) to cover part of the Western Galilee region of Israel.",rockets,0,0
Ayelet HaShahar,"33.0222, 35.5772",25-08-2024,"Interception: On 25 August 2024, Hezbollah forces in Lebanon launched about five \",unknown,0,0
Ayelet HaShahar,"33.0222, 35.5772",25-08-2024,"On 25 August 2024, Hezbollah forces in Lebanon launched about five \",unknown,0,0
Aramsha,"33.0878, 35.2284",25-08-2024,"On 25 August 2024, Hezbollah forces in Lebanon fired about 20 rockets and several drones -- likely explosive-laden drones -- that fell in open areas near Hanita, Aramsha (Akko, HaZafon), Adamit, and surrounding areas. Some projectiles were also intercepted. No casualties occurred.",rockets,0,0
Adamit,"33.0797, 35.211",25-08-2024,"On 25 August 2024, Hezbollah forces in Lebanon fired about 20 rockets and several drones -- likely explosive-laden drones -- that fell in open areas near Hanita, Aramsha, Adamit (Akko, HaZafon), and surrounding areas. Some projectiles were also intercepted. No casualties occurred.",rockets,0,0
Menara,"33.1969, 35.5439",25-08-2024,"On 25 August 2024, Hezbollah claimed that it attacked and hit an IDF post in the area of Menara (Zefat, HaZafon) with a drone attack, later in the day after following a salvo ro hundreds of rockets in the morning. The IDF denied any direct hits to IDF bases in the area. Hezbollah claimed to have fired over 320 rockets targeting IDF sites in Israel throughout the day in retaliation for the assassination of senior commander Fuad Shukr, though Israeli authorities estimate that Hezbollah fired about 230 rockets and 20 drones, most of which were intercepted or fell in open areas.",rockets,0,0
Manot,"33.0389, 35.1954",25-08-2024,"On 25 August 2024, Hezbollah forces in Lebanon fired at least two rockets that fell in Manot (Akko, HaZafon), causing damage to a house and a chicken coop in the town. The direct impacts also caused a fire in the town. No casualties occurred. Hezbollah claimed to have fired over 320 rockets targeting IDF sites in Israel throughout the day in retaliation for the assassination of senior commander Fuad Shukr, though Israeli authorities estimate that Hezbollah fired about 230 rockets and 20 drones, most of which were intercepted or fell in open areas.",rockets,0,0
Akko,"32.9281, 35.0765",25-08-2024,"On 25 August 2024, Hezbollah forces in Lebanon fired rockets, and at least one explosive-laden drone, that fell in Akko (HaZafon), causing property damage and lightly injuring an Israeli civilian. Power outages were also caused in the area. Hezbollah claimed to have fired over 320 rockets targeting IDF sites in Israel throughout the day in retaliation for the assassination of senior commander Fuad Shukr, though Israeli authorities estimate that Hezbollah fired about 230 rockets and 20 drones, most of which were intercepted or fell in open areas.",rockets,1,0
Akko,"32.9281, 35.0765",25-08-2024,"Interception: On 25 August 2024, Israeli military forces intercepted dozens of rockets and drones over northern Israel that were fired by Hezbollah forces in Lebanon. Hezbollah forces launched hundreds of projectiles throughout the day as part of a retaliation for the assassination of senior commander Fuad Shukr. At least dozens of the projectiles were intercepted. No locations for the interceptions specified. Coded to Akko (HaZafon) to cover the western-most area of Israel\",rockets,0,0
Coast of Akko,"32.9326, 35.0653",25-08-2024,"Interception: On 25 August 2024, Israeli military forces intercepted several explosive-laden drones over the sea by Israel\",drone,0,0
Glilot Base,"32.1431, 34.8172",25-08-2024,"Other: On 25 August 2024, 8 Hezbollah drones launched missiles targeting the Glilot Base (home to Mossad headquarters and several IDF intelligence units, including its high-profile signals intelligence group Unit 8200) (Tel Aviv). Hezbollah claimed that the missiles \",drone,0,0
Mount Meron Base,"32.9975, 35.4123",25-08-2024,"Other: On 25 August 2024, Hezbollah launched missiles targeting a Israeli military base in Meron (coded as Mount Meron base, Akko). Hezbollah claimed that the missiles \",missiles,0,0
Ramot Naftali,"33.1015, 35.5532",25-08-2024,"Other: On 25 August 2024, Hezbollah launched missiles targeting Ramot Naftali barracks (Zefat). Hezbollah claimed that the missiles \",missiles,0,0
Ein Zeitim Base,"32.9948, 35.4851",25-08-2024,"Other: On 25 August 2024, Hezbollah launched missiles targeted the Ein Zeitim Base (Zefat). Hezbollah claimed that the missiles \",missiles,0,0
Gaaton Base,"33.0052, 35.1894",25-08-2024,"Other: On 25 August 2024, Hezbollah launched missiles targeting Gaaton Base (Akko). Hezbollah claimed that the missiles \",missiles,0,0
Beit Hillel Base,"33.2231, 35.6017",25-08-2024,"Other: On 25 August 2024, Hezbollah launched missiles targeting the Beit Hillel Israeli military base (Zefat). Hezbollah claimed that the missiles \",missiles,0,0
Nahariyya,"33.0089, 35.0981",24-08-2024,"Interception: On 24 August 2024, Israeli military forces intercepted a \",unknown,0,0
Nahariyya,"33.0089, 35.0981",24-08-2024,"Interception: On 24 August 2024, Israeli military forces intercepted a \",unknown,0,0
Kiryat Shmona,"33.2073, 35.572",24-08-2024,"On 24 August 2024, Hezbollah forces in Lebanon fired about ten rockets at Kiryat Shmona (Zefat, HaZafon). Some of the rockets were intercepted. Some of the rockets directly impacted Kiryat Shmona, damaging at least two houses and sparking a fire in an open area. No casualties occurred.",rockets,0,0
Kiryat Shmona,"33.2073, 35.572",24-08-2024,"Interception: On 24 August 2024, Hezbollah forces in Lebanon fired about ten rockets at Kiryat Shmona (Zefat, HaZafon). Some of the rockets were intercepted around Kiryat Shmona. No casualties occurred.",rockets,0,0
Kiryat Shmona,"33.2073, 35.572",24-08-2024,"On 24 August 2024, Hezbollah forces in Lebanon fired about ten rockets at Kiryat Shmona (Zefat, HaZafon). Some of the rockets fell in open areas around Kiryat Shmona. No casualties occurred.",rockets,0,0
Even Menahem,"33.0742, 35.294",23-08-2024,"On 23 August 2024, Hezbollah forces in Lebanon fired at least five projectiles toward Shetula, Shomera, and Even Menahem (Akko, HaZafon). No interceptions or direct hits to populated areas were reported, as the projectiles likely fell in open areas, some likely near Even Menahem. No casualties occurred. In total, Hezbollah forces fired at least 110 projectiles toward northern Israeli communities throughout the day.",projectile,0,0
Biriya,"32.9783, 35.4997",23-08-2024,"On 23 August 2024, Hezbollah forces in Lebanon fired at least 20 rockets toward Safed and surrounding areas, including in the area of Biriya (Zefat, HaZafon). Some of the rockets were intercepted. Some rockets fell in open areas in forests near Biriya, sparking fires in the area. No casualties occurred. In total, Hezbollah forces fired at least 110 projectiles toward northern Israeli communities throughout the day.",rockets,0,0
Dalton,"33.0164, 35.489",23-08-2024,"Interception: On 23 August 2024, Hezbollah forces in Lebanon fired at least 20 rockets toward Safed and surrounding areas, including Dalton (Zefat, HaZafon). Interceptions were documented over the area of Dalton. In total, Hezbollah forces fired at least 110 projectiles toward northern Israeli communities throughout the day.",rockets,0,0
