Location,Date,Description,Weaponry,Casulties,Shot Down
Kfar Kila,21-03-2024,"On 21 March 2024, the Israeli military fired artillery shells on Kfar Kila town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military announced it had targeted military infrastructure for Hezbollah in the town. There were no casualties.",shells,0,0
Kfar Kila,21-03-2024,"Interception:On 21 March 2024, the Israeli military fired missiles to intercept missiles believed to be fired by Hezbollah or other Palestinian armed factions over Kfar Kila (Marjayoun, Al Nabatieh). There were no casualties.",missiles,0,0
Yarine,21-03-2024,"On 21 March 2024, Israeli warplanes carried out an airstrike on Yarine town (Tyr, South) amid ongoing hostilities with Hezbollah. After the strike, ambulances rushed to the area. The Israeli military used heavy machine gunfire towards the ambulances. The Israeli military announced it had targeted military infrastructure for Hezbollah in the town. There were no casualties.",airstrike,0,0
Jabal Blat,21-03-2024,"On 21 March 2024, Israeli warplanes carried out an airstrike on Jabal Blat town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Tayr Harfa,21-03-2024,"On 21 March 2024, the Israeli military fired artillery shells in the vicinity of Tayr Harfa (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Hamoul,21-03-2024,"On 21 March 2024, the Israeli military fired artillery shells in the vicinity of Hamoul (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Chihhine,21-03-2024,"On 21 March 2024, the Israeli military fired artillery shells on Wadi Hasan in the vicinity of Chihhine (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Hilta,21-03-2024,"On 21 March 2024, the Israeli military fired artillery shells in the vicinity of Hilta (Hasbeiya, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Kfar Hamam,21-03-2024,"On 21 March 2024, the Israeli military fired artillery shells in the vicinity of Kfar Hamam (Hasbeiya, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Yaroun,21-03-2024,"On 21 March 2024, the Israeli military fired artillery shells on a forest area in the vicinity of Yaroun town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Khiyam,21-03-2024,"On 21 March 2024, the Israeli military fired artillery shells in the vicinity of Khiyam town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Aitaroun,21-03-2024,"On 21 March 2024, the Israeli military fired artillery shells in and on the outskirts of Aitaroun town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Houla,21-03-2024,"On 21 March 2024, Israeli warplanes carried out an airstrike on Houla town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military announced it had targeted military infrastructure for Hezbollah in the town. There were no casualties.",airstrike,0,0
El Majidiye,21-03-2024,"On 21 March 2024, an Israeli drone struck a sheep horde on the outskirts of El Majidiye town (Hasbeiya, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",drone,0,0
Marwahin,21-03-2024,"On 21 March 2024, Israeli warplanes carried out an airstrike in the vicinity of Marwahin town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Ramieh,21-03-2024,"On 21 March 2024, Israeli warplanes carried out an airstrike in the vicinity of Ramieh town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Marjayoun,21-03-2024,"On 21 March 2024, the Israeli military fired artillery shells in the vicinity of Marjayoun town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Maroun er Ras,21-03-2024,"On 21 March 2024, the Israeli military fired artillery shells on Maroun er Ras town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Aalma Ech Chaab,21-03-2024,"On 21 March 2024, the Israeli military fired artillery shells on the outskirts of Aalma Ech Chaab town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Ras al Naqoura,21-03-2024,"On 21 March 2024, the Israeli military fired artillery shells on the outskirts of Ras al Naqoura town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Jebbayn,21-03-2024,"On 21 March 2024, the Israeli military fired artillery shells on the outskirts of Jebbayn town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Khalwat,21-03-2024,"Defusal:On 21 March 2024, the LAF carried out a controlled explosion of an Israeli drone between Kfeir and Khalwat town (Hasbeiya, Al Nabatieh).",drone,0,0
Al Wazzani,20-03-2024,"On 20 March 2024, the Israeli military used heavy machine gunfire and fired grenades towards cattle herders and farmers in the eastern part of Al Wazzani town (Hasbeiya, Al Nabatieh). There were no casualties.",machine gunfire,0,0
Qantara,20-03-2024,"On 20 March 2024, Israeli warplanes carried out two airstrikes on a house in Qantara town (Marjayoun, Al Nabatieh). A member of the Amal Movement was killed in the airstrikes.",airstrike,1,0
Kfar Kila,20-03-2024,"On 20 March 2024, Israeli warplanes carried out an airstrike on Al Wazzani neighborhood in Kfar Kila town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military also fired artillery shells towards the town. The Israeli military announced it had targeted military infrastructure for Hezbollah in the town. There were no casualties.",airstrike,0,0
Yaroun,20-03-2024,"On 20 March 2024, Israeli warplanes carried out airstrikes on the outskirts and on Al Bayader neighborhood in Yaroun town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military announced it had targeted military infrastructure for Hezbollah in the town. There were no casualties.",airstrike,0,0
Aita ech Chaab,20-03-2024,"On 20 March 2024, the Israeli military used heavy machine gunfire in the vicinity of Aita ech Chaab town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",machine gunfire,0,0
Houla,20-03-2024,"On 20 March 2024, Israeli warplanes carried out an airstrike on a house in Al Deir neighborhood in Houla town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military announced it had targeted military infrastructure for Hezbollah in the town. There were no casualties.",airstrike,0,0
Khiyam,20-03-2024,"On 20 March 2024, the Israeli military fired artillery shells in the vicinity of Khiyam town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Kfar Kila,20-03-2024,"On 20 March 2024, the Israeli military fired artillery shells in the vicinity of Kfar Kila town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Marjayoun,20-03-2024,"On 20 March 2024, the Israeli military fired artillery shells in the vicinity of the Marjayoun valley (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Aadayseh Marjayoun,20-03-2024,"On 20 March 2024, the Israeli military fired artillery shells towards Aadayseh Marjayoun (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Marwahin,20-03-2024,"On 20 March 2024, Israeli warplanes carried out an airstrike on a house in Marwahin town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Al Wazzani,20-03-2024,"On 20 March 2024, the Israeli military fired artillery shells in the western vicinity of Al Wazzani town (Hasbeiya, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Khaldah,20-03-2024,"Other: On 20 March 2024, the Israeli military carried out a radio frequency interference at the Rafic Hariri International Airport in Khaldah (Aley, Mount Lebanon).",unknown,0,0
El Ghandouriyeh,20-03-2024,"On 20 March 2024, Israeli warplanes carried out airstrikes and the Israeli military fired artillery shells towards El Ghandouriyeh (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military announced it had struck a building with a Hezbollah operative in the town. Casualties Unknown.",airstrike,0,0
Aabbassiye,20-03-2024,"On 20 March 2024, an Israeli Merkava tank struck with multiple shells on Aabbassiye town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Yarine,20-03-2024,"On 20 March 2024, Israeli warplanes carried out airstrikes on Yarine town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Kfar Hamam,20-03-2024,"On 20 March 2024, the Israeli military fired artillery shells on the outskirts of Kfar Hamam town (Hasbeiya, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Ed Dhayra,20-03-2024,"On 20 March 2024, Israeli warplanes carried out an airstrike on Ed Dhayra town (Tyr, South) amid ongoing hostilities with Hezbollah. Several civilian injuries were reported.",airstrike,0,0
Marwahin,19-03-2024,"On 19 March 2024, Israeli warplanes carried out an airstrike on Marwahin town (Tyr, South) amid ongoing hostilities with Hezbollah. The Israeli military also fired artillery shells towards the town. The Israeli military announced it had targeted a Hezbollah member in the town. There were no casualties.",airstrike,0,0
Ramieh,19-03-2024,"On 19 March 2024, an Israeli Merkava tank shelled the area in the vicinity of Ramieh town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah, Israeli military forces also fired heavy machine gunfire in the area. There were no casualties.",machine gunfire,0,0
Aita ech Chaab,19-03-2024,"On 19 March 2024, the Israeli military used heavy machine gunfire in the vicinity of Aita ech Chaab town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",machine gunfire,0,0
Hanine,19-03-2024,"On 19 March 2024, the Israeli military fired artillery shells towards Hanine town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. The shelling lead to material damage across the town. There were no casualties.",shells,0,0
Qabrikha,19-03-2024,"On 19 March 2024, between 5:30 and 6:30 AM, the Israeli military fired 155mm artillery shells towards Wadi Al Sluqi near Qabrikha town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Aadayseh Marjayoun,19-03-2024,"On 19 March 2024, Israeli warplanes carried out an airstrike on an unoccupied house in Aadayseh Marjayoun town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military announced it had targeted military infrastructure for Hezbollah. There were no casualties.",airstrike,0,0
Hamoul,19-03-2024,"On 19 March 2024, the Israeli military fired artillery shells towards Hamoul town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Aita ech Chaab,19-03-2024,"On 19 March 2024, Israeli warplanes carried out an airstrike on Aita ech Chaab town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Ed Dhayra,19-03-2024,"On 19 March 2024, the Israeli military fired artillery shells towards Ed Dhayra town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Blida,19-03-2024,"On 19 March 2024, the Israeli military fired artillery shells in the vicinity of Blida town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Mays el Jabal,19-03-2024,"On 19 March 2024, Israeli warplanes carried out an airstrike on Al Trash neighborhood in the southwestern vicinity of Mays el Jabal town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. the Israeli military fired artillery shells in the vicinity of the town. There were no casualties.",airstrike,0,0
Kfar Kila,19-03-2024,"On 19 March 2024, Israeli warplanes carried out a series of airstrikes on the outskirts of Kfar Kila town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Rab el Thalathine,19-03-2024,"On 19 March 2024, Israeli warplanes carried out a series of airstrikes on Rab el Thalathine town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Mays el Jabal,19-03-2024,"On 19 March 2024, Israeli warplanes carried out a series of airstrikes on Mays el Jabal town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military also fired artillery shells towards Al Dabbaka, Al Kasayer, and Kroom Al Mirah areas across the town. There were no casualties.",airstrike,0,0
Tayr Harfa,19-03-2024,"On 19 March 2024, the Israeli military fired artillery shells in the vicinity of Tayr Harfa town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Hanine,19-03-2024,"On 19 March 2024, the Israeli military fired artillery shells towards the valley of Hanine town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Beit Lif,19-03-2024,"On 19 March 2024, the Israeli military fired artillery shells as well as an Israeli Merkava tank fired shells towards Beit Lif town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Ramieh,19-03-2024,"On 19 March 2024, the Israeli military fired artillery shells towards Ramieh town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Tayr Harfa,19-03-2024,"On 19 March 2024, the Israeli military fired artillery shells on Tayr Harfa town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Ras al Naqoura,19-03-2024,"On 19 March 2024, the Israeli military fired artillery shells in the northern vicinity of Ras al Naqoura (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Ras al Naqoura,19-03-2024,"On 19 March 2024, Israeli warplanes carried out a series of airstrikes on Ras al Naqoura town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Rachaya al Foukhar,19-03-2024,"On 19 March 2024, the Israeli military fired artillery shells in the vicinity of Rachaya al Foukhar town (Hasbeiya, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Ramieh,18-03-2024,"On 18 March 2024, around 4:00 AM, Israeli warplanes carried out an airstrike on a house in the vicinity of Ramieh town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military also fired artillery shells towards the vicinity of the town. Israeli military spokesperson announced that the military struck a building and an observation post for Hezbollah in the town. There were no casualties.",airstrike,0,0
Aita ech Chaab,18-03-2024,"On 18 March 2024, the Israeli military fired artillery shells towards the vicinity of Aita ech Chaab (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Kfar Kila,18-03-2024,"On 18 March 2024, the Israeli military used heavy machine gunfire and assault rifles towards Kfar Kila town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. The IDF said it had struck an observation post for Hezbollah in the town. There were no casualties.",machine gunfire,0,0
Aadayseh Marjayoun,18-03-2024,"On 18 March 2024, Israeli warplanes carried out two airstrikes on a house in Aadayseh Marjayoun town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military announced that it had struck military infrastructure for Hezbollah. There were no casualties.",airstrike,0,0
Mays el Jabal,18-03-2024,"On 18 March 2024, the Israeli military fired artillery shells in the vicinity of Mays el Jabal (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
El Meri,18-03-2024,"On 18 March 2024, the Israeli military fired medium and heavy machine guns towards poultry farms and farmers in El Meri town (Hasbeiya, Al Nabatieh). The farmers left the area due to the gunfire. There were no casualties.",unknown,0,0
Aita ech Chaab,18-03-2024,"On 18 March 2024, Israeli warplanes carried out multiple airstrikes and the Israeli military fired artillery shells on Aita ech Chaab town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. Severe material damage took place across the town. There were no casualties.",airstrike,0,0
Mays el Jabal,18-03-2024,"On 18 March 2024, Israeli warplanes carried out an airstrike on a house and the Israeli military fired artillery shells on the northern part of Mays el Jabal (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. An Israeli drone also struck a residential neighborhood in the town. The Israeli military announced that it had struck military infrastructure for Hezbollah. Several injuries were reported.",drone,0,0
Marwahin,18-03-2024,"On 18 March 2024, the Israeli military fired artillery shells on Marwahin (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Jebbayn,18-03-2024,"On 18 March 2024, the Israeli military fired artillery shells on Jebbayn (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Ed Dhayra,18-03-2024,"On 18 March 2024, the Israeli military fired artillery shells on Ed Dhayra (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Yarine,18-03-2024,"On 18 March 2024, the Israeli military fired artillery shells on Yarine (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Jebbayn,18-03-2024,"On 18 March 2024, the Israeli military fired artillery shells in the vicinity of Jebbayn town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Tayr Harfa,18-03-2024,"On 18 March 2024, the Israeli military fired artillery shells in the vicinity of Tayr Harfa town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Houla,18-03-2024,"On 18 March 2024, the Israeli military fired artillery shells on Houla town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Tayr Harfa,18-03-2024,"On 18 March 2024, the Israeli military fired artillery shells on Tayr Harfa town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Houla,18-03-2024,"On 18 March 2024, the Israeli military fired artillery shells in the vicinity of Houla town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Marjayoun,17-03-2024,"On 17 March 2024, the Israeli military fired two artillery shells on the valley of Marjayoun (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah to intimidate farmers who were present on the valley. There were no casualties.",shells,0,0
Aita ech Chaab,17-03-2024,"On 17 March 2024, around 11:00 AM, an Israeli drone carried out a strike on Aita ech Chaab (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. The Israeli military claimed it had struck an observation post used by Hezbollah in the town. There were no casualties.",drone,0,0
Aitaroun,17-03-2024,"On 17 March 2024, the Israeli military fired artillery shells between Maroun er Ras and Aitaroun (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Aitaroun,17-03-2024,"On 17 March 2024, Israeli fighter jets carried out an airstrike with an air-to-surface missile on a house in Aitaroun (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. The house was completely destroyed. The Israeli military claimed that the building is used by Hezbollah. There were no casualties.",airstrike,0,0
Marwahin,17-03-2024,"On 17 March 2024, Israeli warplanes carried out an airstrike on Marwahin town (Tyr, South) amid ongoing hostilities with Hezbollah. The Israeli military claimed it had struck an observation post used by Hezbollah in the town. There were no casualties.",airstrike,0,0
Khiyam,17-03-2024,"On 17 March 2024, the Israeli military fired artillery shells and used heavy machine gunfire in the vicinity of Khiyam town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Kfar Kila,17-03-2024,"On 17 March 2024, the Israeli military fired 82mm mortar shells on Kfar Kila town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",mortar,0,0
Ras al Naqoura,17-03-2024,"On 17 March 2024, around 2:00 PM, Israeli fighter jets carried out an airstrike on a house in Ras al Naqoura (Tyr, South) amid ongoing hostilities with Hezbollah. The house was completely destroyed. There were no casualties.",airstrike,0,0
Debl,17-03-2024,"On 17 March 2024, the Israeli military fired artillery shells in the vicinity of Debl town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Hanine,17-03-2024,"On 17 March 2024, the Israeli military fired artillery shells in the vicinity of Hanine town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Ras al Naqoura,17-03-2024,"On 17 March 2024, Israeli warplanes carried out a raid and the Israeli military fired artillery shells in the vicinity of Ras al Naqoura town (Tyr, South) amid ongoing hostilities with Hezbollah. There were no casualties.",shells,0,0
Aalma Ech Chaab,17-03-2024,"On 17 March 2024, Israeli warplanes carried out an airstrike in the vicinity of Aalma Ech Chaab town (Tyr, South) amid ongoing hostilities with Hezbollah. The Israeli military claimed it had struck a building used by Hezbollah in the town. There were no casualties.",airstrike,0,0
Khiyam,17-03-2024,"On 17 March 2024, Israeli warplanes carried out an airstrike and the Israeli military fired artillery shells on a house in the southern neighborhood of Khiyam town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Ramieh,17-03-2024,"On 17 March 2024, Israeli warplanes carried out an airstrike on a house in the vicinity of Ramieh town (Bint Jbeil, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties.",airstrike,0,0
Mazraat Sardah,17-03-2024,"On 17 March 2024, the Israeli military fired artillery and white phosphorus shells towards Mazraat Sardah (Al Nabatieh, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties. HRW and other international organizations have accused Israel of using white phosphorous bombs.",shells,0,0
Al Wazzani,17-03-2024,"On 17 March 2024, the Israeli military fired artillery and white phosphorus shells towards the western outskirts of Al Wazzani town (Hasbeiya, Al Nabatieh) amid ongoing hostilities with Hezbollah. HRW and other international organizations have accused Israel of using white phosphorous bombs. There were no casualties.",shells,0,0
El Hamames,17-03-2024,"On 17 March 2024, the Israeli military fired artillery and white phosphorus shells towards El Hamames town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties. HRW and other international organizations have accused Israel of using white phosphorous bombs.",shells,0,0
Aadayseh Marjayoun,17-03-2024,"On 17 March 2024, the Israeli military fired artillery and white phosphorus shells towards the eastern entrance of Aadayseh Marjayoun town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties. HRW and other international organizations have accused Israel of using white phosphorous bombs.",shells,0,0
Houla,17-03-2024,"On 17 March 2024, the Israeli military fired artillery and white phosphorus shells on Tallet Al Ouaida in the vicinity of Houla town (Marjayoun, Al Nabatieh) amid ongoing hostilities with Hezbollah. There were no casualties. HRW and other international organizations have accused Israel of using white phosphorous bombs.",shells,0,0
